Occupation Name,Verb-Noun Pairs,Matched Verb-Noun Pairs from AI
Film and Video Editors,review sequence,"review document, sequence recommendation, review analysis, review method"
Concierges,require service,"evaluate service, offer service, exercise service, integrate service, provide service, implement service, manage service, generate service, facilitate service, enable service, prompt service, service request, require authentication, recommend service, automate service, request service, enhance service, configure service, activate service, leverage service, prepaid service, coordinate service, optimize service, personalize service, deliver service, handle service, provision service, distribute service, obtain service, prioritize service, require assistance"
Clinical and Counseling Psychologists,provide consultation,"provide outcome, provide identifier, provide support, provide editing, provide development, provide management, provide summary, provide authentication, provide opportunity, provide quotation, provide extension, provide mismatch, provide condition, provide option, provide encryption, provide retraining, provide process, provide purchase, provide classifier, provide foundation, provide biofeedback, provide intervention, provide content, provide interface, provide orchestration, provide architecture, provide stabilization, provide accessibility, provide performance, provide proposal, provide effectiveness, provide platform, provide relevance, provide experience, provide descriptor, provide expression, provide advertising, provide consultation, provide resource, provide operator, provide awareness, provide terminology, provide emergence, provide specification, provide product, provide advice, provide classification, provide container, provide multiplication, provide policy, provide verification, provide security, provide network, provide recovery, provide inspiration, provide portal, provide operation, provide assistant, provide perception, provide change, provide dashboard, provide result, provide transformation, facilitate evaluation, provide coverage, provide callback, provide representation, provide profile, provide comparison, provide database, provide infotainment, provide objective, provide indication, provide exchange, provide reference, provide notification, provide timing, provide understandability, provide capability, provide communication, provide advisor, provide combination, provide ordering, provide selection, provide synchronization, provide engineering, provide incentive, provide optimization, provide healthcare, provide advancement, provide function, provide tracking, provide mapping, provide functionality, provide cognition, provide simulation, provide program, provide prognosis, provide discovery, provide relationship, provide implant, provide detection, provide prediction, provide rendering, provide credential, provide redundancy, provide allocation, provide prevention, provide monitoring, provide arrangement, provide assurance, provide assessment, provide control, provide maintenance, provide portion, provide distance, provide benefit, provide treatment, provide uncertainty, provide visualization, provide sensation, provide adaptation, provide improvement, provide terminal, provide announcement, provide titration, provide modification, provide commercial, provide pruning, provide nutrition, provide environment, provide enhancement, provide sorting, provide payment, provide transcription, provide context, distribute consultation, provide therapy, provide dialogue, provide quality, provide connectivity, provide expansion, provide translation, provide approach, provide synthesis, provide framework, provide agreement, provide stimulation, provide education, provide screening, provide location, provide refocusing, provide response, provide instruction, provide deployment, provide indicator, provide vision, provide portability, provide impairment, provide service, provide nursing, provide commerce, provide setting, provide generator, provide provenance, provide calibration, provide integrity, provide resolution, provide systems, provide correction, provide material, provide activity, provide exercise, provide account, provide shortcut, provide interaction, provide explanation, provide information, provide continuity, provide instructor, provide generation, provide stretching, provide recommendation, provide science, provide compensation, provide tolerance, provide alternative, provide server, provide training, provide transfer, provide application, provide mobility, provide friction, provide isolation, provide distribution, provide guidance, provide automation, provide suggestion, provide question, provide meeting, provide marketplace, provide access, provide therapeutic, provide pressure, provide segmentation, provide infrastructure, provide reasoning, provide repository, provide plurality, provide transaction, provide session, provide collaboration, provide amusement, provide prompt, provide evaluation, provide apparatus, provide reduction, provide intelligence, provide messaging, provide estimate, provide presentation, provide strategy, provide solution, provide direction, provide attention, provide schedule, provide auction, provide reversal, provide mechanism, provide protection, provide telecommunication, provide overlay, provide workflow, provide internet, provide monitor, provide organization, provide processor, provide identification, provide avoidance, provide reservation, provide testing, provide customer, provide complication, offer communication, provide parameter, provide attribution, provide webpage, provide course, provide interoperability, provide guideline, provide conversation, provide document, provide recognition, provide equipment, provide protocol, provide action, provide element, provide processing, provide dialog, provide survey, provide interpretation, provide advertisement, provide reflection, provide substance, provide warning, provide structure, provide configuration, provide insulation, provide analysis, provide aggregation, provide category, provide transmission, provide module, provide agility, provide learning, provide assistance, provide diagnosis, provide component, provide feedback, provide definition, provide coordination, provide pacing, provide eta, provide availability, provide measure, provide connection"
Funeral Home Managers,"evaluate performance, evaluate employee, ensure quality","evaluate definition, ensure fairness, evaluate efficiency, evaluate consistency, ensure determinism, improve quality, optimise performance, ensure consistency, manage quality, evaluate usability, evaluate recognition, assess quality, determine performance, evaluate quality, optimize appraisal, evaluate consumption, assess productivity, ensure quality, ensure sufficiency, evaluate success, evaluate positioning, evaluate satisfaction, assess intelligibility, ascertain suitability, assess stratification, enhance quality, assess presentation, verify quality, evaluate professional, evaluate individual, assess instability, perform assessment, perform analysis, assess compliance, improve evaluation, investigate performance, assess function, evaluate visualization, assess cognition, evaluate selection, evaluate communication, evaluate function, predict performance, evaluate performance, calculate performance, provide quality, evaluate accuracy, evaluate complexity, assess effectiveness, assess dynamic, assess orientation, analyze performance, monitor performance, ensure reproducibility, manage performance, identify quality, monitor quality, evaluate integrity, generate performance, assess complexity, quantify performance, analyze effectiveness, ensure integrity, facilitate performance, perform calibration, restore quality, assess capability, enhance performance, analyse performance, maximize performance, quantify quality, evaluate causality, measure performance, maintain quality, evaluate engagement, achieve quality, evaluate experience, evaluate intelligibility, evaluate relevance, assess performance, evaluate correlation, optimize quality, evaluate characteristic, evaluate vulnerability, assess individual, perform measurement, ensure positioning, measure quality, evaluate simulation, evaluate reliability, optimize performance, ensure robustness, evaluate effectiveness, assess usability, ensure compliance, assess progression, improve performance, determine quality, evaluate capability, evaluate transcription, assess reliability, determine suitability, facilitate quality"
Dental Laboratory Technicians,use articulator,"use access, use reasoning, use compound, use distillation, use image, use terminal, use prescription, use intelligence, use doppler, use pseudonym, use adaptability, use distance, use lactate, use exercise, use assistant, use molecule, use estimator, use angle, use transfer, use catalyst, use provenance, use intermediary, use confidence, use scanning, use sensor, use curricula, use tracing, use asset, use emulation, use ultrasound, use spectrum, use spectra, use apparatus, use appliance, use filtration, use making, use market, use heuristic, use extension, use psilocybin, use action, use resin, use regression, use maze, identify use, use strength, use geometry, use automation, use utterance, use variable, use spline, use preparation, use planner, use reality, use scan, use protection, use ledger, use trajectory, use scale, reduce use, manage use, use modeling, use radix, use topology, use reinforcement, use assembly, use accumulation, use collaboration, use fingerprinting, use polymer, use running, use glove, use neuroscience, use ellipse, use lithography, use support, use perturbation, use document, use power, use satellite, use detection, use metadata, use chain, use brainwave, use patch, use forest, use background, use lineage, use normalizer, use graph, use conversion, use affect, use reaction, use script, use programming, use example, use server, use functionality, use synchronization, use attribute, use processing, use pillar, use content, use override, use note, use interaction, use repository, use credential, use domain, use part, use speech, use counter, use combination, use curve, use value, use circumstance, use illustration, use normalization, use engine, use sense, use lattice, use policy, use tetracycline, use sensing, use location, use consensus, use collection, use candidate, use event, use consumer, use discovery, use count, use particle, use tensor, use assessment, use recovery, use point, use guesser, use relevance, use user, use abstract, use difference, use resource, use mutation, use occupancy, use management, use update, use heartbeat, monitor use, use database, use surveillance, use vector, use cognition, use universal, use cue, use surrogate, use voting, use similarity, use argument, use palette, use case, determine use, use pipeline, classify use, use histogram, use keypad, use input, use localization, use automobile, use clustering, use pegboard, use allocation, use gesture, use aircraft, use deferral, use buffer, use message, use potential, use weighting, use capture, facilitate use, use correlation, use camera, use series, use type, use sampling, use matrix, use asymmetry, use diagnosis, use packaging, use algorithm, use resonance, use subsystem, use connection, use parameter, use operator, use configuration, use critic, use factorization, use signature, use entity, use magnification, use plurality, use fabric, use tiling, use washer, use polymerization, use object, use packer, use logic, use polymorphism, use earpiece, use genome, use measurement, use imagery, use index, utilize definition, use reasoner, use propensity, use LOGIC, use contract, use pose, use skip, use manipulator, use evaluation, use portion, use environment, use accent, use integration, use hydrogel, use robot, use sentiment, use profiling, use quantification, use tomography, use phase, use property, use patient, use routine, use community, use shield, use indicator, use dialogue, use depolarization, use formulation, use quotient, use characteristic, use contour, use definition, use consistency, use controller, use depth, use window, use time, use field, use provider, use evolution, use variant, use table, use overlay, use absorption, use measure, use subunit, use output, use fluctuation, use benzodiazepine, use graphic, use relation, use representation, use circuit, use workflow, use unit, use forecasting, use stub, use emotion, use projection, use cache, use reclassification, use fluorescent, use classification, use scheme, use recording, use computation, modify use, use boundary, use mean, use uncertainty, use behavior, use electrocardiogram, use convolution, use imitation, use consumption, use template, use commerce, use festoon, use compression, use reconstruction, use plating, use device, use internet, use discrimination, use protease, use diagram, use partitioning, use pharmaceutical, use certificate, use landmark, use relay, use volume, use verification, use synthesis, use steering, use topic, use neighborhood, use generation, use neuron, use instance, use interrogation, use query, use header, use coupling, use optimization, use encoding, use exception, use function, use insight, use module, use comprehension, use summarization, use descent, use factor, use cookie, use therapy, use sweep, use ligation, use computing, use scaling, use generator, use dispersal, use medium, use technology, use signal, use information, use component, use bottleneck, use resolution, use sensitivity, use alloy, use light, use instantiation, use interpolation, use slice, use framework, use character, use surface, use concatenation, use collision, use token, use handler, use system, use correspondence, use product, use bonding, use analysis, use differentiator, use premise, use thermography, use dynamic, use control, use antibody, use client, use feed, use tool, use bandwidth, use stability, use mixture, use composition, use taxonomy, use texture, use catheter, use theory, use variance, use trigram, use reconnaissance, use inhibitor, use switching, use colour, use representative, use anatomy, use metric, use equilibrium, use constraint, use navigation, use antenna, use utility, use canvas, use proxy, use neighbor, use spectrometry, use picture, use honeypot, use construct, use validation, use dimension, support use, use corpus, use monitoring, use grating, use phrase, use problem, use oracle, use security, use question, use inspection, use prior, use statistic, use actuator, use manager, use personality, use sequence, use tending, use group, use pixel, use intensity, use induction, use vocabulary, use choice, use physiology, use text, adjust use, use store, use movement, use radiation, use address, use architecture, use evidence, use perspective, use inhaler, detect use, use language, use identifier, use tracker, use conversation, use reset, use stimulus, use stack, use tachograph, use forward, use hardware, use form, use compiler, use phenotype, use revenue, use motion, use amplification, use understanding, use ethernet, use wearable, use catalog, use dialog, use driving, use agency, use criterion, use interface, use cluster, use retrieval, use context, use record, use predictor, use reduction, use departure, use packet, use segment, use electrolysis, use spelling, use science, use waveform, use diversity, use activity, use equipment, use service, use balancing, use manner, use display, use substitution, use interval, use stylet, use design, use recommendation, use algebra, use thesaurus, use simulator, use learning, use basis, use layer, use primitive, use experience, use rating, use warping, use space, use profile, use attention, use sound, use envelope, use authentication, use perforation, use transducer, use repertoire, use portal, use history, use evaluator, use network, use annotation, use irradiation, use primer, use locator, use guide, use inference, use tocopherol, use ablation, use principle, optimize use, use separation, use blueprint, use machine, use transaction, use direction, use approach, use result, use seam, use sensitizer, use block, use string, use reagent, use alias, use grid, use gradient, use solution, use infrastructure, use procedure, use bacteriophage, use range, use symmetry, use grouping, use interest, use program, use capacity, use polygon, use memory, use illumination, use inversion, use adjustment, use crossbar, use oscillator, use level, use contrast, use indication, use instruction, use frame, use optic, use modulus, use detector, use target, use channel, use check, use view, use description, use stimulation, use decomposition, use temperature, use base, use rotation, use hologram, use juxtaposition, use oscillation, use pressure, use orchestration, use priming, use crown, use diffusion, use pattern, use encryption, use commodity, use protein, use instrument, use probe, use ranking, use spreadsheet, use discriminator, use aggregation, use ensemble, use authorization, use symbol, use metal, use adaptation, use line, use gateway, use occurrence, use shard, use change, use population, use processor, use extraction, use planning, use modality, use training, use bridge, use biofeedback, use quantum, use cardiogram, use visualization, use wallet, use conditioning, prevent use, use disclosure, use modulation, use estimate, use compensation, use magnet, use fragment, use subset, use timing, use process, use permit, use highlight, use conductance, use alert, use ordering, use mining, use immunofluorescence, indicate use, use specification, use photograph, use stage, use parallelism, use entropy, use queue, use estimation, use dictionary, use engineering, use slider, use region, use chromatography, use transmission, use alignment, use category, use hyperlink, use core, use manufacturing, use agonist, use implementation, use screen, use station, use trial, use library, use cleaner, use computer, use popularity, use ontology, use identification, use artifact, use coding, use affinity, use ophthalmoscope, use number, use intent, use connectivity, use prop, use simulation, use headphone, use shifter, use container, use excitation, use drawing, use positioning, use indexing, use feature, use handle, use storage, use descriptor, use microphone, use prediction, use bladder, intervene use, use pulse, use pseudo, use telephone, use filter, use sharing, use ratio, use response, use sample, use relationship, use correction, use extract, use repeater, use regularization, use association, use mechanism, use imaging, use software, use chamber, use drone, use transistor, restrict use, use citation, use variation, use mapping, use article, use mode, use awareness, use coordination, use manifold, use replay, make use, use electrode, use electromyography, use vehicle, use probability, use vision, use personification, use force, use distribution, use dial, use foresight, use platform, use operation, use cycle, control use, use electroencephalogram, use quantization, use batch, use deviation, use grammar, use knowledge, use prefix, use playback, use concealment, use account, use replacement, use vibration, use array, use scoring, use scheduler, use spectroscopy, use reward, use enzyme, use panel, use summary, use transformer, use insertion, use feedback, use reactor, use supplementation, use therapeutic, use budget, use classifier, use microscopy, use heating, use session, use phosphor, use fingerprint, use vocalization, use material, use segmentation, use nuclease, use pause, use determination, use linkage, use accelerator, use reader, use mirror, use loyalty, use momentum, use datum, use cryptography, use proposal, use secret, quantify use, use capability, use trend, use layout, use item, use multitude, use guarantee, use avalanche, use stream, use supervision, use augmentation, use delivery, use earphone, use condition, use transformation, use currency, use newsletter, use state, use networks, use guidance, use search, use application, use extractor, use strategy, use qualification, use snapshot, use spectrometer, use pointer, use cortex, use difficulty, use shape, use element, use dispersion, use dioxide, use cursor, use stroke, use triangulation, use analyzer, use website, use telemetry, use velocity, use communication, use human, use apprenticeship, use antagonist, use model, use replication, use recognition, use comparison, use selection, use link, use frequency, use polishing, use pruning, use repetition, use format, use satisfaction, use mismatch, use messenger, use protocol, use observation, use approximation, use command, use scheduling, use decoding, use magnetometer, use method, use marker, use expression, use peptide, use nitrogen, use pricing, use teacher, use entry, use publication, use proof, use coordinate, use tracking, use swarm, use energy, use truth, use beacon, use package, use metabolism, use mobile, use intersection, use source, use concept, use variability, use preference, use clumping, use accelerometer, use propagation, use interoperability, use request, use reference, use microscope, use multiple, use hierarchy, predict use, use preview, enable use, use dilation, use kernel, use lexicon, use weight, use node, use chart, use translation, use adder, use coherence, use effect, use fusion, use technique, use threshold, use marking, use receptivity, use fluorescence, use structure, use nanotube, use browser"
Sustainability Specialists,"collect information, inform maker","communicate information, coordinate information, associate information, reconstruct information, capture information, transfer information, present information, retrieve information, visualize information, validate information, contain information, disseminate information, browse information, evaluate information, analyze information, gather information, locate information, introduce information, conceal information, obtain information, deliver information, assign information, localize information, convey information, combine information, navigate information, recover information, aggregate information, indicate information, deduce information, determine information, recognize information, collect resource, propagate information, solicit information, disclose information, extract information, display information, maximize information, intermediate information, safeguard information, provide information, assess information, transmit information, select information, represent information, verify information, incorporate information, exchange information, compensate information, inform information, generate information, collect observation, identify information, exploit information, receive information, classify information, embed information, convert information, produce information, calculate information, implement information, monetize information, catalog information, replicate information, highlight information, construct information, utilize information, comprise information, collate information, acquire information, collect measurement, maintain information, manage information, distribute information, monitor information, collect information, collect component, organize information, integrate information, manipulate information"
Credit Counselors,"calculate income, meet obligation","meet criterion, meet management, meet conception, meet information, meet participant, meet requirement, meet service"
Residential Advisors,provide aid,"aid manufacturing, aid learning, aid consumption, provide assistance, operate aid, aid performance, aid tuning, aid question, aid enforcement, aid interpretation, recover aid, aid analysis, aid detection, aid generation, aid piloting, generate aid, implement aid"
"Claims Adjusters, Examiners, and Investigators",report finding,"report statistic, structure report, report information, report configuration, report measurement, report performance, maintain report, report condition, identify report, report apparatus, report progress, report resource, generate report, classify report, report capability, report technique, report remediation"
"Telecommunications Equipment Installers and Repairers, Except Line Installers","perform maintenance, adjust area, lubricate component","perform acquisition, remove area, perform treatment, perform optimization, perform estimation, perform workflow, perform apparatus, perform modulation, perform combination, perform determination, perform computation, perform inspection, determine area, monitor area, perform classification, perform inversion, perform reservation, perform testing, perform rehabilitation, perform interaction, perform correction, perform acceleration, perform reception, perform positioning, perform recognition, perform multiplication, perform switching, identify area, perform transfer, perform application, perform reconciliation, recognize area, perform exponentiation, perform separation, perform localization, observe area, fabricate component, perform assessment, perform selection, perform pricing, perform transmission, perform communication, perform management, perform carrier, generate area, perform screening, control area, perform conversion, perform workload, perform enhancement, perform activity, perform finding, perform detection, perform convolution, perform navigation, perform segmentation, perform function, perform amplification, perform training, detect area, perform occlusion, perform reporting, measure area, perform orchestration, perform authorization, perform instrument, perform manipulation, distinguish area, perform calibration, perform induction, perform recovery, perform procedure, perform mobility, perform control, perform validation, define area, perform adjustment, perform allocation, perform instruction, perform highlighting, perform calculation, perform protection, perform measurement, perform transaction, perform operation, perform computing, perform registration, perform specification, perform processing, perform transformation, perform exploration, perform tracking, perform identification, perform stimulation, perform execution, perform planning, perform maintenance, perform examination, perform handover, perform extraction, perform reconstruction, perform aggregation, perform authentication, perform service, perform profiling, perform simulation, perform distillation"
Loan Officers,resolve problem,"address problem, resolve problem, resolve ambiguity, remediate problem, resolve anomaly, solve issue, resolve issue, solve problem, identify problem, mitigate problem"
"Cooks, Restaurant",supervise work,"determine work, perform work, work scheduling, support work, work apparatus, identify work, work criterion, work equipment"
Market Research Analysts and Marketing Specialists,"prepare report, illustrate datum, translate finding","incorporate datum, interpret datum, extrapolate datum, identify report, attribute datum, distinguish datum, replicate datum, reproduce datum"
Freight Forwarders,"determine method, move good","assemble method, practise method, reconstruct method, cultivate method, change method, initialize method, determine measurement, implement method, inquire method, derive method, perform method, structure method, describe method, accelerate method, resolve method, supervise method, defect method, prepare method, recognize method, generate method, execute method, duplicate method, detect method, dissolve method, determine alternative, process method, concentrate method, reproduce method, suppress method, sample method, perceive method, integrate method, reverse method, transfer method, benefit method, apply method, construct method, combine method, alleviate method, authorize method, classify method, enhance method, personalize method, acknowledge method, practice method, diagnose method, overtake method, determine configuration, prompt method, consider method, assess method, address method, manage method, determine propensity, handle method, retrieve method, collect method, adjust method, determine function, differentiate method, select method, object method, present method, suggest method, calculate method, identify method, determine effectiveness, determine apparatus, improve method, determine approach, distinguish method, eliminate method, measure method, determine modulus, determine parameter, correct method, trigger method, approach method, strengthen method, calibrate process, determine strategy, utilize method, understand method, monitor method, indicate method, highlight method, translate method, analyze method, circulate method, employ method, ascertain parameter, determine method, complete method, comprise method, supplement method, underwrite method, dispatch method, reposition method, evaluate method, question method, arrange method, penetrate method, determine protocol, restrain method, modify method, transmit method, predict method, determine variability, distribute method, repeat method, extract method, determine formulation, optimize method, decide method, determine functionality, analyse method, attribute method, enable method, obtain method, complement method, embed method, separate method, realize method, produce method, interact method, discharge method, estimate method, simplify method, render method, sequence method, determine probability, verify method, recommend method, determine segmentation, communicate method, balance method, respond method, activate method, target method, establish method, associate method, desensitize method, guarantee method, reinforce method"
Advanced Practice Psychiatric Nurses,treat patient,"treat encephalitis, treat dementia, treat symptom, treat sensitivity, treat individual, treat fibrosis, treat patient, treat hyperglycemia, treat person, treat illness, treat infection, treat hypertension, treat disability, treat impairment, treat dysfunction"
Microsystems Engineers,contain component,"contain disturbance, contain polymer, contain sequence, comprise fragment, include component, contain version, contain viscosity, contain identifier, separate component, contain particle, contain conjugate, generate containment, contain triglyceride, contain component, contain linkage, contain material, contain antioxidant, contain GENE, comprise compound, specify component, contain device, comprise function, contain composition, contain complex, contain model, contain document, contain processor, contain element, combine component, contain information, contain surfactant, contain polyester, contain mixture, contain mismatch, identify component, contain plurality, contain emulsion, produce element, contain derivative, contain invariance, comprise material, contain compound, distinguish component, contain method, comprise element, contain modifier, contain content, contain domain, contain uncertainty, contain disinformation, comprise component, contain amide"
Stockers and Order Fillers,"use register, accept cash","use access, use reasoning, use compound, use distillation, use terminal, use prescription, use intelligence, use doppler, use pseudonym, use adaptability, use distance, use lactate, use exercise, use assistant, use molecule, use estimator, use catalyst, use transfer, use provenance, use intermediary, use confidence, use scanning, use sensor, use curricula, use tracing, use asset, use emulation, use ultrasound, use spectrum, use spectra, use apparatus, use appliance, use filtration, use making, use market, use heuristic, use extension, use psilocybin, use regression, use maze, identify use, use strength, use geometry, use automation, use utterance, use variable, use spline, use preparation, use planner, use site, use reality, use scan, use protection, use ledger, use trajectory, use scale, reduce use, manage use, use modeling, use radix, use topology, use reinforcement, use assembly, use accumulation, use collaboration, use fingerprinting, use polymer, use running, use glove, use neuroscience, use ellipse, use lithography, use support, use perturbation, use document, use read, use satellite, use detection, use metadata, use patch, use background, use lineage, use normalizer, use graph, use conversion, use affect, use reaction, use script, use programming, use example, use server, use functionality, use synchronization, use attribute, use processing, use pillar, use content, use override, use note, use interaction, use repository, use credential, use domain, use secret, use gate, use counter, use combination, use value, use circumstance, use illustration, use normalization, use lattice, use policy, use tetracycline, use sensing, use location, use consensus, use collection, use candidate, use event, use consumer, use discovery, use count, use particle, use tensor, use assessment, use recovery, use point, use guesser, use relevance, use user, use abstract, use difference, use resource, use mutation, use occupancy, use management, use update, use heartbeat, monitor use, use database, use surveillance, use vector, use cognition, use universal, use cue, use surrogate, use voting, use similarity, use argument, use palette, use case, determine use, use pipeline, classify use, use histogram, use keypad, use input, use localization, use automobile, use clustering, use pegboard, use allocation, use gesture, use aircraft, use deferral, use buffer, use message, use potential, use weighting, use capture, facilitate use, use correlation, use camera, use type, use sampling, use matrix, use asymmetry, use diagnosis, use packaging, use algorithm, use resonance, use subsystem, use connection, use parameter, use operator, use configuration, use factorization, use signature, use entity, use magnification, use plurality, use fabric, use tiling, use washer, use polymerization, use object, use packer, use logic, use measurement, use imagery, use index, use reasoner, use propensity, use LOGIC, use contract, use skip, use manipulator, use evaluation, use portion, use environment, use accent, use integration, use hydrogel, use robot, use sentiment, use profiling, use quantification, use tomography, use phase, use property, use patient, use routine, use community, use shield, use indicator, use dialogue, use depolarization, use formulation, use quotient, use characteristic, use contour, use definition, use consistency, use controller, use window, use field, use provider, use evolution, use variant, use table, use overlay, use absorption, use measure, use subunit, use output, use fluctuation, use benzodiazepine, use graphic, use relation, use representation, use circuit, use workflow, use forecasting, use stub, use emotion, use projection, use cache, use reclassification, use classification, use scheme, use recording, use computation, modify use, use boundary, use mean, use uncertainty, use behavior, use electrocardiogram, use convolution, use imitation, use consumption, use template, use commerce, use compression, use reconstruction, use plating, use device, use internet, use discrimination, use protease, use diagram, use partitioning, use pharmaceutical, use certificate, use landmark, use relay, use volume, use verification, use synthesis, use steering, use topic, use neighborhood, use generation, use instance, use interrogation, use query, use header, use coupling, use optimization, use encoding, use spam, use exception, use function, use insight, use module, use comprehension, use summarization, use file, use descent, use factor, use cookie, use therapy, use sweep, use ligation, use computing, use scaling, use generator, use dispersal, use medium, use technology, use signal, use information, use component, use bottleneck, use resolution, use sensitivity, use alloy, use instantiation, use interpolation, use slice, use framework, use character, use surface, use concatenation, use collision, use token, use handler, use system, use correspondence, use product, use bonding, use analysis, use differentiator, use premise, use thermography, use dynamic, use control, use antibody, use client, use tool, use bandwidth, use stability, use mixture, use composition, use taxonomy, use texture, use catheter, use variance, use reconnaissance, use inhibitor, use switching, use colour, use representative, use anatomy, use metric, use equilibrium, use constraint, use navigation, use antenna, use utility, use canvas, use proxy, use neighbor, use spectrometry, use picture, use honeypot, use construct, use validation, use dimension, support use, use monitoring, use grating, use phrase, use problem, use oracle, use security, use question, use inspection, use prior, use statistic, use actuator, use manager, use personality, use sequence, use tending, use group, use pixel, use intensity, use induction, use vocabulary, use choice, use physiology, use code, adjust use, use store, use movement, use radiation, use address, use architecture, use evidence, use perspective, detect use, use language, use identifier, use tracker, use conversation, use reset, use stimulus, use stack, use bot, use tachograph, use forward, use hardware, use form, use compiler, use revenue, use motion, use amplification, use understanding, use ethernet, use wearable, use catalog, use dialog, use driving, use agency, use criterion, use interface, use cluster, use retrieval, use context, use record, use predictor, use reduction, use departure, use packet, use segment, use electrolysis, use spelling, use science, use waveform, use diversity, use activity, use equipment, use service, use balancing, use manner, use display, use substitution, use interval, use design, use recommendation, use algebra, use thesaurus, use simulator, use learning, use basis, use primitive, use experience, use rating, use warping, use profile, use attention, use authentication, use envelope, use click, use perforation, use transducer, use repertoire, use portal, use history, use evaluator, use network, use annotation, use irradiation, use primer, use locator, use guide, use inference, use tocopherol, use ablation, use principle, optimize use, use separation, use blueprint, use machine, use transaction, use direction, use approach, use result, use seam, use sensitizer, use block, use string, use reagent, use alias, use grid, use gradient, use solution, use infrastructure, use procedure, use bacteriophage, use symmetry, use grouping, use interest, use program, use capacity, use polygon, use memory, use illumination, use inversion, use penalty, use adjustment, use oscillator, use level, use contrast, use indication, use instruction, use frame, use modulus, use detector, use target, use channel, use check, use view, use description, use stimulation, use decomposition, use temperature, use rotation, use hologram, use juxtaposition, use oscillation, use pressure, use orchestration, use priming, use diffusion, use pattern, use encryption, use commodity, use instrument, use probe, use ranking, use spreadsheet, use discriminator, use aggregation, use ensemble, use log, use authorization, use symbol, use adaptation, use gateway, use occurrence, use shard, use change, use population, use processor, use extraction, use planning, use modality, use training, use bridge, use biofeedback, use quantum, use cardiogram, use visualization, use wallet, use conditioning, prevent use, use disclosure, use modulation, use estimate, use compensation, use magnet, use fragment, use subset, use timing, use process, use permit, use highlight, use conductance, use alert, use ordering, use immunofluorescence, indicate use, use specification, use photograph, use parallelism, use entropy, use queue, use estimation, use dictionary, use plug, use engineering, use slider, use chromatography, use transmission, use alignment, use category, use hyperlink, use core, use manufacturing, use agonist, use implementation, use screen, use trial, use library, use cleaner, use computer, use popularity, use tonus, use ontology, use identification, use artifact, use coding, use affinity, use ophthalmoscope, use number, use intent, use connectivity, use prop, use simulation, use headphone, use shifter, use container, use excitation, use drawing, use positioning, use indexing, use feature, use handle, use storage, use descriptor, use microphone, use prediction, use bladder, intervene use, use pulse, use pseudo, use telephone, use filter, use sharing, use response, use correction, use sample, use relationship, use extract, use repeater, use phone, use copy, use regularization, use association, use mechanism, use imaging, use software, use chamber, use drone, use transistor, restrict use, use citation, use variation, use mapping, use article, use awareness, use coordination, use manifold, use replay, make use, use electrode, use electromyography, use vehicle, use probability, use vision, use personification, use distribution, use dial, use foresight, use platform, use operation, use cycle, control use, use electroencephalogram, use quantization, use batch, use deviation, use grammar, use knowledge, use prefix, use playback, use alarm, use concealment, use account, use replacement, use vibration, use array, use scoring, use scheduler, use spectroscopy, use reward, use panel, use summary, use transformer, use insertion, use feedback, use reactor, use tap, use supplementation, use therapeutic, use budget, use classifier, use microscopy, use heating, use session, use phosphor, use fingerprint, use vocalization, use material, use segmentation, use nuclease, use pause, use determination, use linkage, use accelerator, use reader, use mirror, use loyalty, use momentum, use datum, use pass, use proposal, use cryptography, quantify use, use capability, use layout, use multitude, use item, use guarantee, use avalanche, use stream, use supervision, use augmentation, use delivery, use earphone, use condition, use transformation, use currency, use newsletter, use networks, use guidance, use search, use application, use extractor, use strategy, use qualification, use snapshot, use spectrometer, use pointer, use difficulty, use element, use dispersion, use dioxide, use cursor, use stroke, use triangulation, use analyzer, use website, use telemetry, use velocity, use communication, use apprenticeship, use antagonist, use model, use replication, use recognition, use comparison, use selection, use link, use frequency, use polishing, use pruning, use repetition, use format, use satisfaction, use mismatch, use messenger, use protocol, use observation, use agent, use approximation, use scheduling, use command, use decoding, use magnetometer, use method, use marker, use expression, use peptide, use nitrogen, use pricing, use teacher, use entry, use publication, use proof, use coordinate, use tracking, use swarm, use beacon, use package, use metabolism, use mobile, use intersection, use source, use concept, use variability, use preference, use clumping, use accelerometer, use propagation, use interoperability, use request, use reference, use microscope, use multiple, use hierarchy, predict use, use preview, enable use, use dilation, use kernel, use lexicon, use node, use translation, use adder, use coherence, use effect, use fusion, use technique, use threshold, use marking, use receptivity, use fluorescence, use structure, use nanotube, use browser"
"Education Administrators, Postsecondary",require action,"anticipate action, enforce action, simulate action, implement action, classify action, integrate action, recognize action, suggest action, trigger action, improve action, select action, coordinate action, require participation, assign action, determine action, discriminate action, intend action, evaluate action, consider action, provide action, generate action, automate action, optimize action, recommend action, define action, execute action, identify action, perform action, facilitate action, initiate action"
"Secondary School Teachers, Except Special and Career/Technical Education",show evidence,show representation
Brownfield Redevelopment Specialists and Site Managers,implement plan,"plan solution, revise plan, extract plan, create plan, provide plan, plan mechanism, plan system, select plan, estimate plan, determine plan, plan itinerary, plan supply, plan feedback, perform plan, manage plan, construct plan, plan generation, plan trajectory, evaluate plan, execute plan, plan implant, characterize plan, identify plan, plan configuration, update plan, produce plan, plan transmission, plan metric, plan conversation, plan movement, optimize plan, plan method, generate plan, adapt plan, plan resource, establish plan, recommend plan, prepare plan, include plan"
